"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"12769","","via padova via de la salle","","45.5033657956812","9.24060816356072","","","","","Europe/Rome","2"
"12770","","via padova via de la salle","","45.5040437741162","9.24051916208843","","","","","Europe/Rome","1"
"12771","","cimiano m2","","45.4991768719127","9.24142315566008","","","","","Europe/Rome","2"
"12772","","cimiano m2","","45.49960285237","9.24212918051774","","","","","Europe/Rome","2"
"12773","","via palmanova via de la salle","","45.5013578130009","9.24247714358976","","","","","Europe/Rome","2"
"12774","","via padova via emo","","45.5054308120451","9.24233009355964","","","","","Europe/Rome","1"
"12775","","via padova via emo","","45.5059337920466","9.24283808466788","","","","","Europe/Rome","1"
"12776","","via palmanova via regina teodolinda","","45.5025688050542","9.24407110564937","","","","","Europe/Rome","2"
"12777","","via palmanova via regina teodolinda","","45.5024488155412","9.24372511647029","","","","","Europe/Rome","2"
"12778","","via palmanova via bottego","","45.5034758420417","9.24508807257397","","","","","Europe/Rome","2"
"12779","","via palmanova via bottego","","45.5035608111142","9.24537512540969","","","","","Europe/Rome","2"
"12780","","via civitavecchia via orbetello","","45.5020898260943","9.24708210472639","","","","","Europe/Rome","1"
"12781","","via civitavecchia via orbetello","","45.5021218082694","9.24696207427162","","","","","Europe/Rome","1"
"12782","","crescenzago m2","","45.5050227630479","9.24729906427287","","","","","Europe/Rome","1"
"12783","","crescenzago m2","","45.5053518285013","9.2475270819768","","","","","Europe/Rome","1"
"12784","","via p.te nuovo via asiago","","45.5072877428866","9.23648617288392","","","","","Europe/Rome","2"
"12785","","via p.te nuovo via asiago","","45.5076796983528","9.2365582214874","","","","","Europe/Rome","2"
"12786","","via p.te nuovo via mariani","","45.5104857092478","9.23533915434523","","","","","Europe/Rome","2"
"12787","","via p.te nuovo via mariani","","45.5115846922435","9.23495713435466","","","","","Europe/Rome","2"
"12788","","via p.te nuovo via biumi","","45.506238748543","9.23667115954159","","","","","Europe/Rome","2"
"12789","","via p.te nuovo via biumi","","45.5061157500112","9.23739815588088","","","","","Europe/Rome","2"
"12790","","via p.te nuovo via asiago","","45.5074887310157","9.23734016001551","","","","","Europe/Rome","2"
"12791","","via p.te nuovo via asiago","","45.5076257474341","9.23671021563724","","","","","Europe/Rome","2"
"12792","","via del ricordo via p.te nuovo","","45.5092967095991","9.23794819981932","","","","","Europe/Rome","2"
"12793","","via meucci via de notaris","","45.5088897582093","9.24329509639865","","","","","Europe/Rome","2"
"12794","","via del ricordo via de notaris","","45.5104957181039","9.24360508865838","","","","","Europe/Rome","2"
"12795","","via padova via rovigo","","45.5078227248332","9.24534706399088","","","","","Europe/Rome","1"
