route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
T24,via ripamonti via serio,11738,8,45.4418253944279,9.19935904925875
T24,via ripamonti via lorenzini,11740,9,45.4432243487429,9.19898300828081
T24,v.le isonzo via ripamonti,11736,10,45.4462573181162,9.19815397833525
T24,via ripamonti via bellezza,11765,11,45.4483113061179,9.19756398945683
T24,via ripamonti v.le sabotino,11756,12,45.4506962729166,9.19695897345624
T24,c.so p.ta vigentina,11758,13,45.4535252477037,9.1962100147882
T24,crocetta m3,11761,14,45.4559341973187,9.19560001262714
T24,c.so p.ta romana via s. sofia,11520,15,45.4582071672587,9.192461021905
T24,missori m3,11511,16,45.460495149215,9.18857106831907
T24,missori m3,11515,17,45.4607571488549,9.19040402505794
T24,via larga,11794,18,45.4627781401537,9.19456395380851
T24,p.za fontana,11788,19,45.463302098617,9.19402891845866
T2,bausan,12978,1,45.5023975979307,9.16497310776317
T2,bausan,11335,2,45.501795571391,9.16588309992133
T2,via imbriani via scalvini,11334,3,45.4989776775121,9.16926005319143
T2,p.le nigra,11339,4,45.4969596989716,9.17073904316202
T2,lancetti,11325,5,45.4951917130143,9.17602798944365
T2,via bernina,11608,6,45.4956117346891,9.18094995221951
T2,via farini v.le stelvio,11617,7,45.4945977372535,9.18502192585911
T2,via farini via alserio,11614,8,45.4916017823239,9.18398794907195
T2,via farini via valtellina,11609,9,45.4890537874859,9.18291094489147
T2,via farini via ferrari,11587,10,45.4851498059787,9.18185200114683
T2,p.le baiamonti,11577,11,45.4831068603367,9.18152799623956
T2,v.le montello,11574,12,45.4802468870304,9.18104002263016
T2,p.za lega lombarda,11572,13,45.4787219018947,9.18074405253813
T2,arena,11532,14,45.4753719554926,9.18139000343162
T2,lanza m2,11541,15,45.471997998978,9.18204909363292
T2,via cusani,11547,16,45.4693850250889,9.18517607636754
T2,cordusio m1,11497,17,45.4662150396436,9.18615304868802
T2,duomo m1 m3,11505,18,45.4639120894044,9.18798705769749
T2,duomo m1 m3,11502,19,45.46330508679,9.18762304054479
T2,via torino via palla,14187,20,45.4616571077757,9.18557704995127
T2,via torino via s. maria valle,11484,21,45.460788116359,9.18323209813633
T2,carrobbio,11477,22,45.4597221119452,9.17972312624602
T2,c.so genova via ariberto,11225,23,45.4580351205189,9.17656720660009
T2,p.le cantore,11194,24,45.4553221817677,9.17264224674673
T2,p.ta genova m2,11177,25,45.4524151943421,9.16985530021825
T2,via valenza alzaia nav. grande,11174,26,45.4506591840181,9.16810633693128
T2,ripa di p.ta ticinese via lombardini,10856,27,45.4494881829809,9.1642534060256
